filename,static_front_rh_mm,static_rear_rh_mm,front_rh_at_speed_mm,rear_rh_at_speed_mm,df_balance_pct,front_pushrod_mm,rear_pushrod_mm,front_heave_nmm,front_heave_perch_mm,rear_third_nmm,rear_third_perch_mm,front_torsion_od_mm,rear_spring_nmm,rear_spring_perch_mm,front_camber_deg,rear_camber_deg,fuel_l,wing_angle_deg,sensor_static_front_mm,sensor_static_rear_mm,sensor_dynamic_front_mm,sensor_dynamic_rear_mm,sensor_front_std_mm,sensor_rear_std_mm,aero_comp_front_mm,aero_comp_rear_mm,mean_speed_at_speed_kph,best_lap_time_s,n_pit_samples,n_speed_samples
bmwlmdh_sebring international 2026-03-11 19-21-44.ibt,30.2,48.7,15.0,40.0,50.14,-25.0,-31.0,50.0,-13.0,540.0,42.0,13.9,180.0,30.0,-2.0,-1.6,89.0,17.0,29.722122192382812,47.94988250732422,19.953527450561523,29.74451446533203,5.758906364440918,6.926351070404053,9.768594741821289,18.205368041992188,222.35060119628906,109.21479797363281,621,17560
bmwlmdh_sebring international 2026-03-11 20-07-53.ibt,30.1,45.3,15.0,40.0,50.14,-25.5,-31.0,70.0,-13.0,420.0,42.0,13.9,140.0,30.0,-2.0,-1.6,89.0,17.0,29.488950729370117,44.53758239746094,21.694416046142578,21.757352828979492,5.268970012664795,8.20605182647705,7.794534683227539,22.780229568481445,225.4086151123047,109.37226867675781,1202,28359
bmwlmdh_sebring international 2026-03-11 20-24-34.ibt,30.1,45.3,15.0,40.0,50.14,-25.5,-31.0,70.0,-13.0,420.0,42.0,13.9,140.0,30.0,-2.0,-1.6,89.0,17.0,29.760902404785156,44.4315071105957,21.962099075317383,22.258237838745117,5.501214981079102,8.157269477844238,7.798803329467773,22.173269271850586,222.44480895996094,109.83433532714844,378,17594
bmwlmdh_sebring international 2026-03-11 20-40-35.ibt,30.1,49.5,15.0,40.0,50.14,-26.5,-30.0,70.0,-14.5,540.0,42.0,13.9,180.0,30.0,-2.0,-1.2,89.0,17.0,30.224336624145508,48.89786148071289,21.456275939941406,29.95100975036621,5.139118671417236,7.114382266998291,8.768060684204102,18.94685173034668,224.14425659179688,109.09407043457031,339,18079
bmw_sebring_2026-03-06.ibt,30.0,49.1,15.0,40.0,50.14,-23.0,-29.0,50.0,-10.0,530.0,41.0,13.9,160.0,30.0,-2.9,-1.8,89.0,17.0,29.691162109375,48.471839904785156,19.76081085205078,29.552663803100586,5.578300952911377,7.054414749145508,9.930351257324219,18.91917610168457,222.0496063232422,110.01256561279297,1136,21431
bmwlmdh_sebring international 2026-03-09 18-39-17.ibt,30.0,49.9,15.0,40.0,50.14,-23.0,-27.0,50.0,-10.0,530.0,41.0,13.9,160.0,30.0,-2.9,-1.8,89.0,17.0,29.918630599975586,49.50490951538086,19.687416076660156,30.332626342773438,5.92887020111084,6.9765801429748535,10.23121452331543,19.172283172607422,223.0441436767578,109.53506469726562,366,21411
bmwlmdh_sebring international 2026-03-11 10-17-38.ibt,30.0,48.9,15.0,40.0,50.14,-23.0,-29.0,50.0,-10.0,450.0,41.0,13.9,170.0,30.0,-2.9,-1.8,89.0,17.0,29.469839096069336,48.10507583618164,19.954130172729492,28.21187973022461,5.688727378845215,7.423651218414307,9.515708923339844,19.89319610595703,223.23789978027344,109.12193298339844,2053,24931
bmwlmdh_sebring international 2026-03-11 10-36-13.ibt,30.0,48.9,15.0,40.0,50.14,-25.0,-29.0,60.0,-14.0,450.0,41.0,13.9,170.0,30.0,-2.9,-1.8,89.0,17.0,30.931142807006836,49.047210693359375,20.293365478515625,27.406095504760742,5.36533260345459,7.824060440063477,10.637777328491211,21.641115188598633,226.50048828125,109.6052017211914,435,22600
bmwlmdh_sebring international 2026-03-11 10-50-42.ibt,30.0,48.1,15.0,45.0,51.88,-25.5,-16.5,30.0,-31.0,320.0,36.0,14.34,180.0,41.5,-2.8,-1.9,89.0,17.0,30.1911563873291,47.922462463378906,17.469589233398438,25.313711166381836,6.558875560760498,7.791406631469727,12.721567153930664,22.60875129699707,225.06993103027344,109.22209930419922,359,22394
bmwlmdh_sebring international 2026-03-11 17-38-43.ibt,30.0,49.5,15.0,40.0,50.14,-25.5,-29.0,50.0,-13.0,540.0,42.0,13.9,180.0,30.0,-1.9,-1.6,89.0,17.0,29.56847381591797,48.74064254760742,19.335844039916992,30.145732879638672,5.832607269287109,7.273409843444824,10.232629776000977,18.59490966796875,226.27320861816406,90.0600357055664,667,40221
bmwlmdh_sebring international 2026-03-12 21-02-31.ibt,30.1,49.3,15.0,40.0,50.14,-23.0,-23.5,70.0,-13.0,460.0,42.0,13.9,150.0,30.0,-2.9,-1.8,89.0,17.0,32.14814376831055,50.640262603759766,21.593151092529297,27.748428344726562,5.22166109085083,7.718785285949707,10.55499267578125,22.891834259033203,222.0559539794922,110.49246978759766,626,14332
bmwlmdh_sebring international 2026-03-12 22-21-01.ibt,30.0,51.5,15.0,40.0,50.14,-22.5,-23.5,50.0,-13.5,540.0,42.0,13.9,170.0,30.0,-2.9,-1.4,89.0,17.0,35.515499114990234,51.09360122680664,19.679174423217773,32.54026794433594,5.885384559631348,7.481258869171143,15.836324691772461,18.553333282470703,221.05921936035156,109.26439666748047,936,22542
bmwlmdh_sebring international 2026-03-12 22-39-23.ibt,30.0,49.5,15.0,40.0,50.14,-22.5,-18.0,50.0,-13.5,380.0,42.0,13.9,130.0,30.0,-2.9,-1.4,89.0,17.0,29.721765518188477,49.314674377441406,20.1859188079834,25.340923309326172,5.939681529998779,8.45099925994873,9.535846710205078,23.973751068115234,222.1477813720703,109.41812896728516,456,21641
